아파트,주소,longitude,latitude
독산진도2차,독산동,126.8922168,37.4700234
독산계룡,독산동,126.8927936,37.4671531
시흥금강,시흥동,126.9080935,37.4630828
현대공무원,시흥동,126.9106809,37.4540267
관악산신도브래뉴,시흥동,126.9106575,37.4479487
가산삼익아파트,가산동,126.8929933,37.4729051
독산현대,독산동,126.8950063,37.4674692
시흥베르빌,시흥동,126.897555,37.457587
시흥성지,시흥동,126.8979308,37.4509225
독산진도3차,독산동,126.8932959,37.4683505
남서울건영아파트,시흥동,126.8986129,37.452828
벽산타운3단지,시흥동,126.9176126,37.4534029
시흥현대빌라,시흥동,126.9020409,37.4395084
독산신도브래뉴,독산동,126.8999857,37.477408
독산동중앙하이츠빌아파트,독산동,126.8887269,37.4647875
관악벽산2단지,시흥동,126.9196921,37.4511267
남서울건영2차,시흥동,126.9107055,37.449377
남서울 무지개 ,시흥동,126.8982269,37.455971
관악우방,시흥동,126.9141297,37.4490446
시흥삼익,시흥동,126.9094589,37.4632836
남서울럭키아파트,시흥동,126.8989408,37.4482097
금천현대,독산동,126.8903796,37.4622731
독산한신,독산동,126.8893489,37.4555624
벽산6,시흥동,126.916643,37.4494632
가산두산위브,가산동,126.892642,37.4746215
시흥벽산1단지,시흥동,126.9196921,37.4511267
관악벽산타운5단지,시흥동,126.9187672,37.4482739
독산주공14단지,독산동,126.8865685,37.4601188
시흥월드메르디앙,시흥동,126.9071306,37.4597256
금천이랜드해가든,독산동,126.8930588,37.4610157
독산동한양수자인아파트,독산동,126.8994054,37.4754599
시흥목련,시흥동,126.8976618,37.4545977
남서울힐스테이트,시흥동,126.9012055,37.4478428
금천롯데캐슬골드파크1차아파트,독산동,126.894426981405,37.4597543543324
백운한비치2차,시흥동,126.909304414,37.453598197
금천롯데캐슬골드파크2차,독산동,126.89431017,37.458265335
독산라이프아파트,독산동,126.892169979,37.461099971
금천롯데캐슬골드파크3차아파트,독산동,126.896692486,37.459972159
e편한세상독산더타워아파트,독산동,126.896182,37.465826
독산역 롯데캐슬아파트 ,독산동,126.8904329,37.4644259
