,역명,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,퇴근시간대승차총승객수,퇴근시간대하차총승객수
502,삼익아파트(00018),4.5,2143.5,4.5,2689.0,6.5,3571.5,2.5,2609.0,18.0,11013.0
501,삼익아파트,4.5,1784.0833333333333,5.916666666666667,2381.1666666666665,9.75,3169.0,4.916666666666667,2426.0,25.083333333333332,9760.25
532,시흥동은행나무.은행나무시장(00017),5.5,1373.25,7.75,2076.5,7.0,2011.75,6.25,1365.0,26.5,6826.5
71,국민연금공단.구로금천지사앞(00014),729.5,1806.5,1144.0,2415.5,773.0,1385.0,353.5,535.0,3000.0,6142.0
70,국민연금공단.구로금천지사앞,505.8888888888889,1454.888888888889,902.0,2103.3333333333335,702.3333333333334,1245.3333333333333,350.77777777777777,595.8888888888889,2461.0,5399.444444444444
412,모두의학교.금천문화예술정보학교(00021),527.0,1312.5,532.0,1891.0,454.0,1210.5,310.5,858.0,1823.5,5272.0
269,독산동정훈단지(00015),646.4,1262.8,772.6,1382.2,776.4,1453.4,602.8,1166.6,2798.2,5265.0
563,시흥사거리.시흥대교(00060),273.75,1212.75,244.5,1680.5,189.75,1492.75,149.5,752.0,857.5,5138.0
492,벽산아파트1단지.호압사입구(00066),73.25,969.75,83.75,1277.25,50.25,1401.0,31.75,1089.75,239.0,4737.75
306,독산한신아파트(00061),303.0,1026.0,250.0,1419.5,123.0,1417.5,97.0,831.0,773.0,4694.0
490,벽산아파트1단지.호압사입구(00054),62.666666666666664,859.3333333333334,64.33333333333333,1258.6666666666667,48.0,1441.0,15.0,939.6666666666666,190.0,4498.666666666667
119,금천우체국.독산1동주민센터(00058),69.0,882.75,85.75,1584.5,72.5,1208.0,66.75,633.25,294.0,4308.5
277,독산동정훈단지(00079),407.3333333333333,987.0,354.3333333333333,970.0,375.6666666666667,1183.3333333333333,275.3333333333333,1027.3333333333333,1412.6666666666667,4167.666666666667
305,독산한신아파트,245.75,794.0,197.25,1223.5833333333333,117.83333333333333,1334.8333333333333,96.33333333333333,680.5833333333334,657.1666666666666,4033.0
108,금천우체국(00057),352.3333333333333,1071.3333333333333,374.3333333333333,1273.0,253.33333333333334,1021.0,193.66666666666666,653.0,1173.6666666666667,4018.3333333333335
420,모두의학교.금천문화예술정보학교(00074),591.0,880.0,452.0,817.3333333333334,594.3333333333334,1117.0,340.6666666666667,902.3333333333334,1978.0,3716.6666666666665
275,독산동정훈단지(00061),347.25,876.25,362.0,900.0,373.75,1156.5,240.25,782.25,1323.25,3715.0
494,벽산아파트1단지.호압사입구(00081),28.75,781.75,30.75,1132.25,13.5,1027.75,10.75,752.0,83.75,3693.75
168,남부여성발전센터앞(00016),80.33333333333333,900.0,65.66666666666667,852.6666666666666,81.66666666666667,1091.0,61.333333333333336,822.0,289.0,3665.6666666666665
398,말미고개.금천소방서(00058),105.66666666666667,865.6666666666666,144.0,1137.6666666666667,96.33333333333333,946.0,30.0,611.6666666666666,376.0,3561.0
